Visual Motor Coordination, 1:56
System Model, 4:52
Methods, 9:49
Tral's Camera Calibration Method, 21:58
A 2-dimensional Kohonen lattice, 35:25
SOM Learning Algorithm, 36:39
Extended Kohonen SOM (EKSOM) in Hybrid System, 40:39
Training Algorithm, 45:22
References, 50:19
