Intro, 0:00
Fuzzy Logic Controllers, 1:33
Mardani type of fuzzy logic controller, 2:16
Important Works, 4:04
Research Issues, 5:51
Lyapunov Stability Theory, 12:39
Fuzzy Lyapunov Controller: SLM, 18:29
Fuzzy Parameters: Optimization, 21:42
Takagi-Sugenotype fuzzy logic controller, 24:47
Continuous time T-S fuzzy model, 36:14
Controller design with common input matrix, 47:16
Linear controller using robust control method, 48:45
Fuzzy controller using LMI technique, 52:09
